# noms et adjectifs adjacents dans "David Copperfield" de C. Dickens
# Creator "Mark Newman on Fri Jul 21 13:00:02 2006"
# format : V      num_sommet       info_sommet
#          E      num_sommet1      num_sommet2


V 0 "agreeable"
V 1 "man"
V 2 "old"
V 3 "person"
V 4 "anything"
V 5 "short"
V 6 "arm"
V 7 "round"
V 8 "aunt"
V 9 "first"
V 10 "bad"
V 11 "air"
V 12 "boy"
V 13 "beautiful"
V 14 "black"
V 15 "face"
V 16 "letter"
V 17 "little"
V 18 "young"
V 19 "best"
V 20 "course"
V 21 "friend"
V 22 "love"
V 23 "part"
V 24 "room"
V 25 "thing"
V 26 "time"
V 27 "way"
V 28 "better"
V 29 "heart"
V 30 "mind"
V 31 "place"
V 32 "right"
V 33 "state"
V 34 "woman"
V 35 "word"
V 36 "door"
V 37 "eye"
V 38 "bright"
V 39 "evening"
V 40 "morning"
V 41 "certain"
V 42 "day"
V 43 "other"
V 44 "child"
V 45 "happy"
V 46 "common"
V 47 "dark"
V 48 "kind"
V 49 "night"
V 50 "dear"
V 51 "good"
V 52 "home"
V 53 "mother"
V 54 "pretty"
V 55 "open"
V 56 "early"
V 57 "fire"
V 58 "full"
V 59 "great"
V 60 "master"
V 61 "moment"
V 62 "work"
V 63 "general"
V 64 "fancy"
V 65 "voice"
V 66 "head"
V 67 "hope"
V 68 "long"
V 69 "greater"
V 70 "hand"
V 71 "hard"
V 72 "red"
V 73 "life"
V 74 "glad"
V 75 "large"
V 76 "new"
V 77 "white"
V 78 "late"
V 79 "whole"
V 80 "light"
V 81 "manner"
V 82 "bed"
V 83 "house"
V 84 "low"
V 85 "money"
V 86 "ready"
V 87 "small"
V 88 "strange"
V 89 "thought"
V 90 "lost"
V 91 "alone"
V 92 "nothing"
V 93 "miserable"
V 94 "natural"
V 95 "half"
V 96 "wrong"
V 97 "name"
V 98 "pleasant"
V 99 "possible"
V 100 "side"
V 101 "perfect"
V 102 "poor"
V 103 "quiet"
V 104 "same"
V 105 "strong"
V 106 "something"
V 107 "true"
V 108 "usual"
V 109 "family"
V 110 "world"
V 111 "year"
E 1 0
E 2 0
E 2 1
E 3 0
E 3 2
E 5 4
E 6 5
E 7 6
E 9 1
E 9 2
E 9 3
E 9 8
E 10 3
E 11 2
E 11 10
E 12 9
E 12 10
E 14 1
E 14 2
E 14 13
E 15 7
E 15 13
E 16 13
E 16 14
E 17 1
E 17 2
E 17 5
E 17 7
E 17 9
E 17 12
E 17 13
E 17 14
E 17 15
E 18 1
E 18 3
E 18 12
E 18 13
E 19 1
E 20 19
E 21 2
E 21 7
E 21 17
E 21 18
E 21 19
E 22 2
E 22 17
E 22 19
E 23 2
E 23 19
E 24 2
E 24 9
E 24 17
E 24 19
E 25 2
E 25 9
E 25 14
E 25 17
E 25 19
E 26 2
E 26 9
E 26 17
E 26 19
E 27 2
E 27 5
E 27 17
E 27 19
E 28 1
E 28 17
E 28 21
E 29 18
E 29 28
E 30 25
E 30 28
E 31 2
E 31 17
E 31 28
E 32 5
E 32 6
E 32 15
E 32 17
E 32 28
E 32 31
E 33 28
E 34 2
E 34 17
E 34 18
E 34 28
E 35 17
E 35 28
E 36 2
E 36 14
E 36 17
E 36 24
E 37 7
E 37 14
E 37 17
E 38 7
E 38 15
E 38 17
E 38 37
E 39 5
E 39 9
E 39 38
E 40 9
E 40 11
E 40 38
E 41 1
E 41 2
E 41 3
E 41 25
E 41 31
E 41 38
E 42 2
E 42 9
E 42 41
E 43 3
E 43 5
E 43 12
E 43 15
E 43 17
E 43 18
E 43 20
E 43 21
E 43 23
E 43 24
E 43 26
E 43 27
E 43 31
E 43 36
E 43 39
E 43 41
E 44 17
E 44 18
E 44 28
E 44 43
E 45 1
E 45 2
E 45 22
E 45 44
E 46 1
E 46 25
E 47 23
E 47 24
E 47 37
E 48 15
E 48 21
E 48 25
E 48 35
E 48 43
E 48 47
E 49 24
E 49 47
E 50 2
E 50 10
E 50 12
E 50 17
E 50 18
E 50 21
E 50 44
E 50 48
E 51 1
E 51 2
E 51 3
E 51 6
E 51 7
E 51 17
E 51 18
E 51 21
E 51 23
E 51 25
E 51 26
E 51 30
E 51 31
E 51 32
E 51 34
E 51 35
E 51 38
E 51 42
E 51 49
E 51 50
E 52 6
E 52 17
E 52 27
E 52 32
E 52 45
E 52 50
E 53 18
E 53 50
E 54 2
E 54 17
E 54 18
E 54 27
E 54 34
E 54 50
E 54 51
E 54 53
E 55 6
E 55 36
E 56 26
E 56 40
E 56 42
E 56 52
E 57 37
E 57 51
E 58 29
E 58 37
E 59 9
E 59 14
E 59 23
E 59 25
E 59 37
E 59 43
E 59 49
E 59 51
E 60 9
E 60 18
E 61 9
E 62 9
E 63 11
E 63 27
E 63 43
E 64 63
E 65 17
E 65 59
E 65 63
E 66 2
E 66 17
E 66 43
E 66 51
E 67 17
E 67 51
E 68 14
E 68 16
E 68 24
E 68 26
E 68 27
E 68 49
E 68 51
E 68 54
E 69 11
E 69 23
E 70 7
E 70 17
E 70 32
E 70 43
E 70 54
E 70 55
E 70 59
E 70 68
E 71 14
E 71 35
E 71 59
E 71 60
E 71 62
E 72 17
E 72 37
E 72 54
E 72 59
E 72 66
E 73 2
E 73 45
E 73 53
E 73 68
E 73 71
E 74 29
E 75 7
E 75 15
E 75 24
E 75 54
E 75 57
E 75 66
E 75 68
E 75 70
E 76 15
E 76 24
E 76 27
E 76 33
E 76 48
E 76 60
E 76 67
E 76 73
E 76 75
E 77 17
E 77 25
E 77 75
E 78 50
E 78 54
E 79 15
E 79 20
E 79 26
E 79 27
E 79 29
E 79 30
E 79 31
E 79 42
E 79 78
E 80 17
E 80 26
E 80 27
E 80 43
E 80 72
E 80 76
E 81 43
E 81 79
E 81 80
E 82 17
E 83 2
E 83 17
E 83 43
E 83 79
E 84 17
E 84 30
E 84 33
E 84 65
E 84 68
E 85 3
E 85 17
E 86 17
E 86 31
E 87 7
E 87 12
E 87 17
E 87 24
E 87 27
E 87 36
E 87 65
E 87 67
E 87 70
E 87 83
E 88 12
E 88 15
E 88 17
E 88 25
E 88 48
E 89 4
E 89 9
E 89 17
E 89 28
E 89 53
E 90 42
E 91 1
E 92 28
E 92 30
E 92 76
E 92 89
E 93 2
E 93 17
E 94 20
E 94 22
E 94 81
E 95 92
E 96 27
E 96 92
E 97 2
E 98 2
E 98 11
E 98 17
E 98 43
E 98 81
E 99 43
E 99 89
E 100 32
E 100 43
E 101 51
E 101 60
E 102 1
E 102 2
E 102 12
E 102 13
E 102 17
E 102 44
E 102 50
E 102 53
E 102 66
E 102 70
E 103 17
E 103 24
E 103 27
E 103 31
E 103 37
E 103 39
E 103 65
E 103 73
E 104 2
E 104 11
E 104 12
E 104 15
E 104 17
E 104 24
E 104 25
E 104 26
E 104 31
E 104 33
E 104 35
E 104 38
E 104 46
E 104 48
E 104 50
E 104 59
E 104 61
E 104 81
E 104 84
E 104 103
E 105 2
E 105 14
E 105 23
E 105 70
E 105 72
E 105 104
E 106 7
E 106 51
E 106 76
E 106 80
E 106 88
E 106 96
E 107 33
E 107 34
E 108 20
E 108 24
E 108 31
E 108 105
E 109 79
E 110 79
E 110 100
E 111 2
