# Collaborateurs de Paul Erdös 
# format : V   numero_sommet      nom auteur
#          E   num_sommet1        num_sommet1 


V 0 "ABBOTT, HARVEY L."
V 1 "ACZEL, JANOS D."
V 2 "AGOH, TAKASHI"
V 3 "AHARONI, RON"
V 4 "AIGNER, MARTIN S."
V 5 "AJTAI, MIKLOS"
V 6 "ALAOGLU, LEONIDAS*"
V 7 "ALAVI, YOUSEF"
V 8 "ALLADI, KRISHNASWAMI"
V 9 "ALON, NOGA"
V 10 "ANDERSON, JAMES MILNE"
V 11 "ANDRASFAI, BELA"
V 12 "ANKENY, NESMITH C.*"
V 13 "ANNING, NORMAN H.*"
V 14 "ARKIN, JOSEPH"
V 15 "ARNEY, DAVID C."
V 16 "ARONOV, BORIS"
V 17 "ASH, J. MARSHALL"
V 18 "ASHBACHER, CHARLES D."
V 19 "AVIS, DAVID M."
V 20 "BABAI, LASZLO"
V 21 "BABU, GUTTI JOGESH"
V 22 "BAGEMIHL, FREDERICK"
V 23 "BALOG, ANTAL"
V 24 "BANKOFF, LEON*"
V 25 "BARAK, AMNON BRACHA"
V 26 "BATEMAN, PAUL T."
V 27 "BAUMGARTNER, JAMES E."
V 28 "BEASLEY, LEROY B."
V 29 "BECK, ISTVAN"
V 30 "BEHZAD, MEHDI"
V 31 "BEJLEGAARD, NIELS"
V 32 "BENKOSKI, STANLEY J."
V 33 "BERGELSON, VITALY"
V 34 "BERGER, MARC ARON"
V 35 "BERTRAM, EDWARD A."
V 36 "BIALOSTOCKI, ARIE"
V 37 "BLASS, ANDREAS R."
V 38 "BLECKSMITH, RICHARD"
V 39 "BLEICHER, MICHAEL N."
V 40 "BOALS, ALFRED J."
V 41 "BOAS, RALPH PHILIP, JR.*"
V 42 "BOES, DUANE C."
V 43 "BOLLOBAS, BELA"
V 44 "BONAR, DANIEL D."
V 45 "BONDY, JOHN ADRIAN"
V 46 "BONNET, ROBERT"
V 47 "BOROSH, ITSHAK"
V 48 "BOSAK, JURAJ"
V 49 "BOVEY, JOHN D."
V 50 "BRENNER, JOEL LEE*"
V 51 "BRILLHART, JOHN D."
V 52 "BRINDZA, BELA"
V 53 "BROWN, THOMAS CRAIG"
V 54 "BROWN, WILLIAM G."
V 55 "BUCK, R. CREIGHTON*"
V 56 "BUKOR, JOZEF"
V 57 "BURR, STEFAN ANDRUS"
V 58 "BUSOLINI, DONALD TERENCE"
V 59 "CACCETTA, LOUIS"
V 60 "CALKIN, NEIL J."
V 61 "CAMERON, PETER J."
V 62 "CANFIELD, E. RODNEY"
V 63 "CARROLL, FRANCIS W."
V 64 "CATER, FRANK S."
V 65 "CATES, MARSHALL L."
V 66 "CATLIN, PAUL A.*"
V 67 "CHALK, JOHN H. H."
V 68 "CHARTRAND, GARY"
V 69 "CHEN, CHUAN CHONG"
V 70 "CHEN, GUANTAO"
V 71 "CHEN, HANG"
V 72 "CHEN, ROBERT W."
V 73 "CHINN, PHYLLIS ZWEIG"
V 74 "CHOI, SHIU LUN GODFREY"
V 75 "CHOWLA, SARVADAMAN*"
V 76 "CHUI, CHARLES KAM-TAI"
V 77 "CHUNG, FAN RONG K."
V 78 "CHUNG, KAI-LAI"
V 79 "CHVATAL, VACLAV"
V 80 "CLARK, BRENT N."
V 81 "CLARK, LANE HENRY"
V 82 "CLARKSON, JAMES ANDREW*"
V 83 "CLUNIE, JAMES G."
V 84 "COHEN, STEPHEN D."
V 85 "COLBOURN, CHARLES J."
V 86 "CONWAY, JOHN HORTON"
V 87 "COPELAND, ARTHUR H., SR.*"
V 88 "CROFT, HALLARD T."
V 89 "CSAKI, ENDRE"
V 90 "CSISZAR, IMRE"
V 91 "CZIPSZER, JANOS"
V 92 "DARLING, DONALD A."
V 93 "DARST, RICHARD B."
V 94 "DAVENPORT, HAROLD*"
V 95 "DAVIES, ROY O."
V 96 "DAYKIN, DAVID E."
V 97 "DE BRUIJN, NICOLAAS GOVERT"
V 98 "DE CAEN, DOMINIQUE"
V 99 "DE KONINCK, JEAN-MARIE"
V 100 "DEBOSE, YOLANDA"
V 101 "DEHEUVELS, PAUL"
V 102 "DELEGLISE, MARC"
V 103 "DENES, JOZSEF"
V 104 "DESHOUILLERS, JEAN-MARC"
V 105 "DEUBER, WALTER A.*"
V 106 "DEZA, MICHEL-MARIE"
V 107 "DIAMOND, HAROLD GEORGE"
V 108 "DIRAC, GABRIEL ANDREW*"
V 109 "DIXMIER, JACQUES"
V 110 "DOWKER, YAEL NAIM"
V 111 "DRAKE, DAVID A."
V 112 "DUDLEY, UNDERWOOD"
V 113 "DUKE, RICHARD A."
V 114 "DVORETZKY, ARYEH"
V 115 "ECKLUND, EARL F., JR."
V 116 "EDREI, ALBERT*"
V 117 "EGGLETON, ROGER B."
V 118 "EL-ZAHAR, MOHAMED H."
V 119 "ELEKES, GYORGY"
V 120 "ELLIOTT, PETER D. T. A."
V 121 "ENTRINGER, ROGER C."
V 122 "ERNE, MARCEL"
V 123 "EVANS, ANTHONY B."
V 124 "FABER, VANCE"
V 125 "FAJTLOWICZ, SIEMION"
V 126 "FAUDREE, RALPH J."
V 127 "FEJES TOTH, LASZLO"
V 128 "FELDHEIM, ERVIN*"
V 129 "FELLER, WILLIAM*"
V 130 "FELZENBAUM, ALEXANDER GERSH"
V 131 "FEW, LEONARD"
V 132 "FISHBURN, PETER C."
V 133 "FODOR, GEZA*"
V 134 "FON-DER-FLAASS, DMITRI G."
V 135 "FOWLER, JOEL C."
V 136 "FOWLER, TOM G."
V 137 "FRAENKEL, AVIEZRI S."
V 138 "FRANKL, PETER"
V 139 "FREEDMAN, ALLEN R."
V 140 "FREIMAN, GREGORY A."
V 141 "FREUD, GEZA*"
V 142 "FREUD, ROBERT"
V 143 "FRIED, ERVIN"
V 144 "FRIED, HANS*"
V 145 "FUCHS, WOLFGANG HEINRICH JOHANNES*"
V 146 "FUREDI, ZOLTAN"
V 147 "GAL, ISTVAN SANDOR"
V 148 "GALAMBOS, JANOS"
V 149 "GALLAI, TIBOR*"
V 150 "GALVIN, FRED"
V 151 "GERENCSER, LASZLO"
V 152 "GILLIS, JOSEPH E.*"
V 153 "GILLMAN, LEONARD"
V 154 "GIMBEL, JOHN GORDON"
V 155 "GINZBURG, ABRAHAM"
V 156 "GODDARD, WAYNE D."
V 157 "GODSIL, CHRISTOPHER DAVID"
V 158 "GOLDBERG, MARK K."
V 159 "GOLOMB, MICHAEL"
V 160 "GOODMAN, ADOLPH W."
V 161 "GORDON, BASIL"
V 162 "GOULD, RONALD J."
V 163 "GRAHAM, RONALD L."
V 164 "GRAHAM, SIDNEY W."
V 165 "GRANVILLE, ANDREW J."
V 166 "GRIESER, DANIEL"
V 167 "GRILL, KARL"
V 168 "GRUBER, PETER MANFRED"
V 169 "GRUNBAUM, BRANKO"
V 170 "GRUNWALD, GEZA*"
V 171 "GUNDERSON, DAVID S."
V 172 "GUPTA, HANSRAJ*"
V 173 "GUY, MICHAEL J. T."
V 174 "GUY, RICHARD K."
V 175 "GYARFAS, ANDRAS"
V 176 "GYORI, ERVIN"
V 177 "GYORY, KALMAN"
V 178 "HAJNAL, ANDRAS"
V 179 "HALASZ, GABOR"
V 180 "HALL, RICHARD ROXBY"
V 181 "HAMBURGER, PETER"
V 182 "HAMMER, JOSEPH"
V 183 "HANANI, HAIM*"
V 184 "HANSON, DENIS"
V 185 "HARARY, FRANK"
V 186 "HARCOS, GERGELY"
V 187 "HARDY, GEORGE EUGENE"
V 188 "HARE, WILLIAM R."
V 189 "HARNER, CHARLES C."
V 190 "HARTMAN, STANISLAW*"
V 191 "HARTTER, ERICH"
V 192 "HARZHEIM, EGBERT"
V 193 "HATTINGH, JOHANNES H."
V 194 "HECHLER, STEPHEN H."
V 195 "HEDETNIEMI, STEPHEN T."
V 196 "HEDRLIN, ZDENEK"
V 197 "HEGYVARI, NORBERT"
V 198 "HEILBRONN, HANS ARNOLD*"
V 199 "HELL, PAVOL"
V 200 "HEMMINGER, ROBERT L."
V 201 "HENNING, MICHAEL A."
V 202 "HENRIKSEN, MELVIN"
V 203 "HERZOG, FRITZ*"
V 204 "HERZOG, MARCEL"
V 205 "HICKERSON, DEAN R."
V 206 "HIGGS, DENIS A."
V 207 "HILDEBRAND, ADOLF J."
V 208 "HINDMAN, NEIL"
V 209 "HOBBS, ARTHUR M."
V 210 "HOFFMAN, ALAN J."
V 211 "HOGGATT, VERNER E., JR.*"
V 212 "HOLTON, DEREK ALLAN"
V 213 "HOLZMAN, RON"
V 214 "HORAK, PETER"
V 215 "HORVATH, MIKLOS"
V 216 "HOWORKA, EDWARD"
V 217 "HSU, DERBIAU FRANK"
V 218 "HUNT, GILBERT AGNEW"
V 219 "HWANG, JUN SHUNG"
V 220 "INDLEKOFER, KARL-HEINZ"
V 221 "INGHAM, ALBERT EDWARD*"
V 222 "IVIC, ALEKSANDAR"
V 223 "JABOTINSKY, ERI*"
V 224 "JACKSON, STEPHEN CRAIG"
V 225 "JACOBSON, MICHAEL S."
V 226 "JAGOTA, ARUN KUMAR"
V 227 "JANSON, SVANTE"
V 228 "JARNIK, VOJTECH*"
V 229 "JIN, GUO PING"
V 230 "JONES, FRED B."
V 231 "JOO, ISTVAN*"
V 232 "JOO, MIKLOS"
V 233 "KAC, MARK*"
V 234 "KAINEN, PAUL C."
V 235 "KAKUTANI, SHIZUO"
V 236 "KAPLANSKY, IRVING"
V 237 "KARAMATA, JOVAN*"
V 238 "KATAI, IMRE"
V 239 "KE, ZHAO (KO, CHAO)"
V 240 "KELLY, PAUL JOSEPH*"
V 241 "KENNEDY, JOHN W."
V 242 "KESTELMAN, HYMAN*"
V 243 "KHARE, SATGUR PRASAD"
V 244 "KIERSTEAD, HENRY A."
V 245 "KISS, PETER"
V 246 "KLAMKIN, MURRAY S."
V 247 "KLAWE, MARIA MARGARET"
V 248 "KLEITMAN, DANIEL J."
V 249 "KLUGERMAN, MICHAEL"
V 250 "KNAPPENBERGER, J."
V 251 "KOCZY, LASZLO A."
V 252 "KOHAYAKAWA, YOSHIHARU"
V 253 "KOKSMA, JURJEN FERDINAND*"
V 254 "KOLESNIK, GRIGORI"
V 255 "KOMJATH, PETER"
V 256 "KOMLOS, JANOS"
V 257 "KOMORNIK, VILMOS"
V 258 "KOREN, ISRAEL"
V 259 "KOSTOCHKA, ALEXANDR V."
V 260 "KOVARI, TAMAS"
V 261 "KRANTZ, STEVEN GEORGE"
V 262 "KRATSCH, DIETER"
V 263 "KRIVELEVICH, MICHAEL"
